age,income,purchases_last_year,region,churned
34,43905,25,north,0
42,46981,46,north,0
47,96473,43,west,0
39,65463,41,west,0
64,117691,46,south,0
43,86589,0,north,1
34,39361,12,south,1
37,41875,9,west,0
51,56661,18,north,0
58,22679,4,north,1
50,96723,7,west,0
54,90486,3,south,1
24,51222,48,west,0
39,146983,12,west,0
49,88201,37,east,0
31,104977,45,south,0
25,50857,48,south,0
42,59606,45,east,0
33,122272,18,north,0
59,20851,49,west,1
36,144280,7,west,0
58,25028,26,south,1
33,40177,49,south,0
29,109236,46,south,0
56,142741,29,north,0
65,59920,3,north,1
47,138019,10,west,0
19,110238,20,east,0
49,75082,42,south,0
62,94305,1,east,1
42,42036,20,west,0
42,119108,16,west,0
21,58212,42,east,0
36,137712,28,south,0
65,102032,26,west,0
21,54735,23,west,0
60,102570,48,south,0
30,122637,2,west,1
56,21384,38,west,0
53,131582,9,east,0
40,148859,2,north,1
23,99403,44,west,0
41,85599,41,west,0
61,122303,25,east,0
50,89524,36,north,0
29,71654,26,north,0
58,82729,4,east,0
38,72668,41,west,0
28,131195,10,south,0
61,39055,12,east,1
55,66499,40,east,0
46,120691,33,north,0
65,111980,37,east,0
58,107314,39,south,0
20,56209,32,east,0
45,28010,33,east,1
37,79618,26,north,0
43,99073,35,south,0
41,71115,25,south,0
69,91299,24,west,0
64,39340,18,north,1
38,92932,20,south,0
47,122202,30,south,0
21,73121,28,east,0
53,34705,8,west,1
57,76448,18,north,0
27,106823,25,south,0
27,148024,24,west,0
59,45274,39,north,0
41,102212,42,east,0
21,51075,28,south,0
64,143717,24,west,0
44,132774,18,north,0
68,73251,3,south,1
62,90882,44,north,0
21,43417,19,east,0
49,123080,45,east,0
27,116700,0,west,1
28,33729,10,west,1
45,43836,3,south,1
63,76132,6,west,0
25,89658,27,south,0
57,86272,35,north,0
39,46872,6,south,0
51,122765,19,east,0
62,103891,34,east,0
52,31465,38,west,1
52,99285,20,east,0
42,126693,43,south,0
51,131521,0,north,1
23,119975,36,east,0
58,145565,45,east,0
54,53374,41,south,0
18,38504,2,south,1
29,65302,33,south,0
52,141684,12,south,0
23,78503,15,north,0
34,136419,33,south,0
26,145141,23,west,0
19,35835,12,north,1
35,27788,5,north,1
66,72547,38,west,0
53,124550,1,east,1
45,44404,10,west,0
58,46951,6,east,0
54,110707,6,south,0
66,58111,38,east,0
